surface	lemma	feats	source
accolades	accolade	PL	lexicon
accomadations	accomadation	PL	promoted
accommodating	accommodate	ING	lexicon
accommodated	accommodate	PAST	lexicon
accommodated	accommodate	PPART	lexicon
accommodates	accommodate	TSG	lexicon
accommodations	accommodation	PL	lexicon
accompaniments	accompaniment	PL	lexicon
accompanists	accompanist	PL	lexicon
accompanying	accompany	ING	agid
accompanied	accompany	PAST	agid
accompanied	accompany	PPART	agid
accompanies	accompany	TSG	agid
accompanyists	accompanyist	PL	lexicon
accomplis	accompli	PL	promoted
accomplices	accomplice	PL	lexicon
accomplishing	accomplish	ING	lexicon
accomplished	accomplish	PAST	lexicon
accomplished	accomplish	PPART	lexicon
accomplishes	accomplish	TSG	lexicon
accomplisher	accomplishe	ER	promoted
accomplishments	accomplishment	PL	lexicon
accompted	accompte	PAST	promoted
accoonts	accoont	PL	promoted
accoring	accor	ING	promoted
according	accord	ING	lexicon
accorded	accord	PAST	lexicon
accords	accord	PL	lexicon
accorded	accord	PPART	lexicon
accords	accord	TSG	lexicon
accordances	accordance	PL	lexicon
accordingly	according	LY	derivation
accordinged	accordinge	PAST	promoted
accordions	accordion	PL	lexicon
accordionists	accordionist	PL	lexicon
accosting	accost	ING	lexicon
accosted	accost	PAST	lexicon
accosts	accost	PL	lexicon
accosted	accost	PPART	lexicon
accosts	accost	TSG	lexicon
accouchements	accouchement	PL	lexicon
accoucheurs	accoucheur	PL	lexicon
accoucheuses	accoucheuse	PL	lexicon
accounts	account	PL	agid
accountabilities	accountability	PL	lexicon
accountancies	accountancy	PL	lexicon
accountants	accountant	PL	lexicon
accountantships	accountantship	PL	lexicon
accountings	accounting	PL	lexicon
accoutering	accouter	ING	lexicon
accoutered	accouter	PAST	lexicon
accoutered	accouter	PPART	lexicon
accouters	accouter	TSG	lexicon
accouterments	accouterment	PL	lexicon
accoutring	accoutre	ING	lexicon
accoutred	accoutre	PAST	lexicon
accoutred	accoutre	PPART	lexicon
accoutres	accoutre	TSG	lexicon
accoutrements	accoutrement	PL	lexicon
accrediting	accredit	ING	lexicon
accredited	accredit	PAST	lexicon
accredited	accredit	PPART	lexicon
accredits	accredit	TSG	lexicon
accreditations	accreditation	PL	lexicon
accreting	accrete	ING	lexicon
accreted	accrete	PAST	lexicon
accreted	accrete	PPART	lexicon
accretes	accrete	TSG	lexicon
accretions	accretion	PL	lexicon
accruals	accrual	PL	lexicon
accruing	accrue	ING	lexicon
accrued	accrue	PAST	lexicon
accrued	accrue	PPART	lexicon
accrues	accrue	TSG	lexicon
accruements	accruement	PL	lexicon
acculturating	acculturate	ING	lexicon
acculturated	acculturate	PAST	lexicon
acculturated	acculturate	PPART	lexicon
acculturates	acculturate	TSG	lexicon
acculturations	acculturation	PL	lexicon
accumulating	accumulate	ING	lexicon
accumulated	accumulate	PAST	lexicon
accumulated	accumulate	PPART	lexicon
accumulates	accumulate	TSG	lexicon
accumulations	accumulation	PL	lexicon
accumulators	accumulator	PL	lexicon
accuracies	accuracy	PL	lexicon
accuratenesses	accurateness	PL	lexicon
accurssed	accurs	PAST	promoted
accursednesses	accursedness	PL	lexicon
accussed	accus	PAST	promoted
accusals	accusal	PL	lexicon
accusations	accusation	PL	lexicon
accusatively	accusative	LY	promoted
accusatives	accusative	PL	lexicon
accusing	accuse	ING	agid
accused	accuse	PAST	agid
accused	accuse	PPART	agid
accuses	accuse	TSG	agid
accusers	accuser	PL	lexicon
accustoming	accustom	ING	lexicon
accustomed	accustom	PAST	lexicon
accustomed	accustom	PPART	lexicon
accustoms	accustom	TSG	lexicon
acing	ace	ING	lexicon
aced	ace	PAST	lexicon
aces	ace	PL	lexicon
aced	ace	PPART	lexicon
aces	ace	TSG	lexicon
acedias	acedia	PL	lexicon
acequias	acequia	PL	promoted
acers	acer	PL	promoted
acerber	acerb	ER	lexicon
acerbest	acerb	EST	lexicon
acerbating	acerbate	ING	lexicon
acerbated	acerbate	PAST	lexicon
acerbated	acerbate	PPART	lexicon
acerbates	acerbate	TSG	lexicon
acerbities	acerbity	PL	lexicon
acerolas	acerola	PL	lexicon
acervuli	acervulus	PL	lexicon
acessed	acess	PAST	promoted
acetabulums	acetabulum	PL	lexicon
acetals	acetal	PL	lexicon
acetaldehydes	acetaldehyde	PL	lexicon
acetamides	acetamide	PL	lexicon
acetaminophens	acetaminophen	PL	lexicon
acetanilids	acetanilid	PL	lexicon
acetanilides	acetanilide	PL	lexicon
acetates	acetate	PL	lexicon
acetifying	acetify	ING	lexicon
acetified	acetify	PAST	lexicon
acetified	acetify	PPART	lexicon
acetifies	acetify	TSG	lexicon
acetones	acetone	PL	lexicon
acetophenetidins	acetophenetidin	PL	lexicon
acetyls	acetyl	PL	lexicon
acetylating	acetylate	ING	lexicon
acetylated	acetylate	PAST	lexicon
acetylated	acetylate	PPART	lexicon
acetylates	acetylate	TSG	lexicon
acetylcholines	acetylcholine	PL	lexicon
acetylenes	acetylene	PL	lexicon
acetyltransferases	acetyltransferase	PL	promoted
achs	ach	PL	promoted
acharyas	acharya	PL	promoted
achates	achat	PL	promoted
aching	ache	ING	lexicon
ached	ache	PAST	lexicon
aches	ache	PL	lexicon
ached	ache	PPART	lexicon
aches	ache	TSG	lexicon
acheiving	acheive	ING	promoted
achenes	achene	PL	lexicon
achieving	achieve	ING	lexicon
achieved	achieve	PAST	lexicon
achieved	achieve	PPART	lexicon
achieves	achieve	TSG	lexicon
achievements	achievement	PL	lexicon
achievers	achiever	PL	lexicon
achilleas	achillea	PL	lexicon
